V7 rebuilt from scratch on each 12h bar phase, rankings recomputed.

     phase (UTC)   bars     CAGR   MaxDD    Shp    Clm  trades   at -20%
    2022-03  exp 1.5 2.5ATR x3.0R 21d  gate    none  Calmar 7.14
    2022-06  exp 2.0 2.5ATR x3.0R 14d  gate  EMA100  Calmar 12.55
    2022-09  exp 1.5 3.0ATR x2.0R 21d  gate    none  Calmar 8.43
    2022-12  exp 3.0 3.0ATR x2.0R 14d  gate  EMA100  Calmar 3.08
    2023-03  exp 3.0 3.0ATR x2.0R 14d  gate  EMA100  Calmar 1.08
    2023-06  exp 3.0 2.5ATR x3.0R 14d  gate    none  Calmar 3.31
    2023-09  exp 3.0 3.0ATR x2.0R 21d  gate  EMA100  Calmar 7.30
    2023-12  exp 3.0 3.0ATR x3.0R 21d  gate  EMA100  Calmar 17.96
    2024-03  exp 1.5 2.5ATR x3.0R 14d  gate    none  Calmar 39.18
    2024-06  exp 3.0 2.5ATR x3.0R 14d  gate  EMA100  Calmar 42.06
    2024-09  exp 3.0 2.5ATR x3.0R 14d  gate    none  Calmar 34.64
    2024-12  exp 2.5 2.5ATR x2.0R 14d  gate  EMA200  Calmar 24.97
    2025-03  exp 3.0 2.5ATR x2.0R 14d  gate  EMA200  Calmar 11.42
    2025-06  exp 3.0 2.5ATR x2.0R 14d  gate  EMA200  Calmar 19.21
    2025-09  exp 3.0 2.5ATR x3.0R 14d  gate  EMA200  Calmar 8.12
    2025-12  exp 3.0 2.5ATR x3.0R 14d  gate  EMA300  Calmar 4.10
    2026-03  exp 3.0 3.0ATR x2.0R 14d  gate    none  Calmar 5.70
    2026-06  exp 1.0 2.5ATR x2.0R 14d  gate    none  Calmar 3.14
   00:00 / 12:00   4020    86.2%  -12.3%   2.15   7.00    1697    168.8%
    2022-03  exp 2.5 2.5ATR x3.0R 21d  gate    none  Calmar 4.54
    2022-06  exp 3.0 2.5ATR x2.0R 21d  gate  EMA200  Calmar 5.58
    2022-09  exp 3.0 2.5ATR x2.0R 14d  gate  EMA200  Calmar 3.03
    2022-12  exp 3.0 2.5ATR x2.0R 14d  gate  EMA200  Calmar 1.89
    2023-03  exp 3.0 2.5ATR x2.0R 14d  gate  EMA200  Calmar 1.14
    2023-06  exp 3.0 3.0ATR x2.0R 14d  gate  EMA300  Calmar 4.30
    2023-09  exp 3.0 2.5ATR x2.0R 14d  gate  EMA100  Calmar 6.22
    2023-12  exp 3.0 3.0ATR x3.0R 14d  gate  EMA100  Calmar 11.07
    2024-03  exp 3.0 3.0ATR x3.0R 14d  gate  EMA100  Calmar 13.61
    2024-06  exp 3.0 3.0ATR x3.0R 14d  gate  EMA100  Calmar 16.78
    2024-09  exp 2.5 2.5ATR x3.0R 21d  gate  EMA200  Calmar 6.78
    2024-12  exp 1.5 3.0ATR x2.0R 14d  gate  EMA200  Calmar 4.32
    2025-03  exp 1.0 3.0ATR x2.0R 14d  gate  EMA200  Calmar 0.90
    2025-06  exp 1.0 3.0ATR x2.0R 14d  gate  EMA150  Calmar 2.10
    2025-09  exp 1.0 3.0ATR x2.0R 14d  gate  EMA150  Calmar 2.79
    2025-12  exp 3.0 3.0ATR x2.0R 21d  gate  EMA100  Calmar 0.92
    2026-03  exp 2.0 3.0ATR x2.0R 21d  gate  EMA100  Calmar 1.97
    2026-06  exp 2.5 3.0ATR x2.0R 14d  gate  EMA100  Calmar 0.37
   03:00 / 15:00   4020    23.6%  -20.4%   0.95   1.16    1553     23.1%
    2022-03  exp 3.0 3.0ATR x2.0R 14d  gate  EMA150  Calmar 5.91
    2022-06  exp 3.0 3.0ATR x2.0R 14d  gate  EMA150  Calmar 7.14
    2022-09  exp 3.0 3.0ATR x2.0R 14d  gate  EMA150  Calmar 8.68
    2022-12  exp 3.0 3.0ATR x2.0R 14d  gate  EMA200  Calmar 12.41
    2023-03  exp 1.0 2.5ATR x3.0R 14d  gate  EMA300  Calmar 3.05
    2023-06  exp 2.5 2.5ATR x2.0R 21d  gate  EMA150  Calmar 6.21
    2023-09  exp 2.5 2.5ATR x2.0R 14d  gate  EMA100  Calmar 16.28
    2023-12  exp 3.0 3.0ATR x3.0R 21d  gate  EMA200  Calmar 29.43
    2024-03  exp 3.0 3.0ATR x3.0R 21d  gate  EMA200  Calmar 34.95
    2024-06  exp 3.0 3.0ATR x3.0R 21d  gate  EMA200  Calmar 29.60
    2024-09  exp 2.5 3.0ATR x3.0R 21d  gate  EMA150  Calmar 10.60
    2024-12  exp 2.5 2.5ATR x2.0R 14d  gate  EMA100  Calmar 6.21
    2025-03  exp 2.5 3.0ATR x2.0R 14d  gate  EMA100  Calmar 3.28
    2025-06  exp 2.5 3.0ATR x2.0R 14d  gate  EMA200  Calmar 4.99
    2025-09  exp 2.5 2.5ATR x3.0R 14d  gate  EMA200  Calmar 2.86
    2025-12  exp 3.0 3.0ATR x3.0R 14d  gate  EMA300  Calmar 0.46
    2026-03  exp 1.0 2.5ATR x2.0R 14d  gate  EMA300  Calmar 0.55
    2026-06  exp 1.0 2.5ATR x2.0R 21d  gate    none  Calmar 0.88
   06:00 / 18:00   4020    30.8%  -45.5%   0.90   0.68    1499     12.9%
    2022-03  exp 2.5 2.5ATR x3.0R 14d  gate  EMA100  Calmar 7.46
    2022-06  exp 1.5 2.5ATR x2.0R 14d  gate    none  Calmar 3.78
    2022-09  exp 2.5 2.5ATR x2.0R 14d  gate    none  Calmar 2.53
    2022-12  exp 1.0 2.5ATR x3.0R 14d  gate    none  Calmar 0.76
    2023-03  exp 1.0 3.0ATR x2.0R 14d  gate    none  Calmar 0.13
    2023-06  exp 2.5 2.5ATR x2.0R 21d  gate  EMA300  Calmar 3.16
    2023-09  exp 3.0 2.5ATR x2.0R 21d  gate  EMA100  Calmar 9.64
    2023-12  exp 2.5 2.5ATR x3.0R 14d  gate  EMA200  Calmar 22.66
    2024-03  exp 2.5 2.5ATR x3.0R 14d  gate  EMA200  Calmar 37.21
    2024-06  exp 2.0 2.5ATR x3.0R 14d  gate  EMA200  Calmar 52.25
    2024-09  exp 2.5 2.5ATR x3.0R 21d  gate    none  Calmar 40.75
    2024-12  exp 3.0 2.5ATR x3.0R 21d  gate    none  Calmar 14.54
    2025-03  exp 3.0 3.0ATR x2.0R 14d  gate  EMA300  Calmar 8.02
    2025-06  exp 3.0 3.0ATR x3.0R 21d  gate  EMA150  Calmar 7.90
    2025-09  exp 3.0 2.5ATR x2.0R 14d  gate  EMA150  Calmar 6.20
    2025-12  exp 3.0 2.5ATR x2.0R 14d  gate  EMA150  Calmar 5.33
    2026-03  exp 3.0 2.5ATR x2.0R 14d  gate  EMA300  Calmar 6.23
    2026-06  exp 2.0 2.5ATR x2.0R 21d  gate    none  Calmar 3.94
   09:00 / 21:00   4020    49.7%  -27.0%   1.16   1.84    1754     35.9%

across 4 phases at the gate: mean 60.2%  sd 73.0  range 12.9-168.8%
deployed phase (00:00/12:00) = 168.8%, which is +1.49 sd from the mean of the four

done: bar phase
