OVERLAY ONLY - V7's own quarterly selection, reused unchanged; only the exit differs.
Nothing here is adopted. Judged at the -20% gate.

                           variant    CAGR   MaxDD    PF      N    Shp    Clm   at -20%  vs base
         baseline - V7 as deployed   86.2%  -12.3%  3.17   1697   2.15   7.00    168.8%     +0.0
              breakeven after 0.5R   80.2%  -12.3%  3.21   1783   2.10   6.52    155.4%    -13.4
              breakeven after 1.0R   85.0%  -12.3%  3.21   1713   2.15   6.91    166.4%     -2.4
              breakeven after 1.5R   84.9%  -13.1%  3.18   1699   2.14   6.50    152.4%    -16.4
            trail 1 ATR after 1.0R   57.7%  -32.1%  2.14   1812   1.59   1.79     32.6%   -136.2
            trail 2 ATR after 1.0R   81.3%  -15.6%  2.99   1748   2.08   5.20    113.4%    -55.5
            trail 3 ATR after 1.0R   82.4%  -15.0%  3.04   1712   2.10   5.49    120.0%    -48.9
            trail 3 ATR after 2.0R   86.9%  -12.3%  3.16   1702   2.18   7.07    170.8%     +2.0
  trail 2 ATR after 1.0R + BE 1.0R   81.4%  -15.6%  3.00   1748   2.08   5.20    113.4%    -55.4

done: exit shape
