OVERLAY ONLY - V7's own quarterly selection, reused unchanged; only the account-level
cap differs. Nothing adopted. Judged at the -20% gate.

                               cap   binds    CAGR   MaxDD    PF      N    Shp    Clm   at -20%  vs base
         baseline - no account cap    0.0%   86.2%  -12.3%  3.17   1697   2.15   7.00    168.8%     +0.0
           notional <= 4.0x equity    0.9%   86.3%  -12.3%  3.17   1697   2.16   7.01    169.1%     +0.3
           notional <= 3.0x equity    2.2%   84.8%  -12.2%  3.15   1697   2.16   6.95    168.1%     -0.8
           notional <= 2.5x equity    2.8%   81.3%  -11.6%  3.09   1697   2.17   6.99    173.2%     +4.4
           notional <= 2.0x equity    3.7%   76.9%  -11.6%  3.00   1697   2.17   6.61    162.5%     -6.3
           notional <= 1.5x equity    5.9%   68.0%  -11.2%  2.82   1697   2.14   6.05    148.6%    -20.2
           notional <= 1.0x equity    9.5%   50.6%  -10.2%  2.47   1696   2.09   4.95    118.8%    -50.1
             risk <= 16% of equity    2.7%   80.1%  -11.6%  3.05   1697   2.18   6.88    170.3%     +1.4
             risk <= 12% of equity    4.0%   73.7%  -10.5%  2.93   1697   2.17   7.00    177.6%     +8.7
             risk <= 10% of equity    4.9%   67.3%  -10.3%  2.80   1697   2.15   6.54    165.3%     -3.6
              risk <= 8% of equity    6.9%   58.3%  -10.2%  2.62   1697   2.12   5.71    140.0%    -28.9

done: account-level cap
